Date,Ticker,Open,Low,AdjClose,Volume,High,Close,Company_Name,Sector,Current_Market_Cap
2015-01-01,ADANIENT.NS,74.39971160888672,73.66399383544922,70.80460357666016,3946806.0,,,Adani Enterprises Ltd.,Infrastructure,2611740000000.0
2015-01-01,ADANIPORTS.NS,319.0,316.25,310.87615966796875,1456204.0,,,Adani Ports and Special Economic Zone Ltd.,Infrastructure,3271160000000.0
2015-01-01,APOLLOHOSP.NS,1131.0,1119.0,1096.8984375,76848.0,,,Apollo Hospitals Enterprise Ltd.,Healthcare,1000810000000.0
2015-01-01,ASIANPAINT.NS,751.0999755859375,747.0,719.1194458007812,284935.0,,,Asian Paints Ltd.,Consumer Durables,2327750000000.0
2015-01-01,AXISBANK.NS,502.6499938964844,499.0499877929688,488.99609375,1351985.0,,,Axis Bank Ltd.,Financials,4257980000000.0
2015-01-01,BAJAJ-AUTO.NS,2431.0,2428.449951171875,2110.2333984375,72928.0,,,Bajaj Auto Ltd.,Automobile,2680130000000.0
2015-01-01,BAJAJFINSV.NS,1309.9000244140625,1280.0,1281.914306640625,29392.0,,,Bajaj Finserv Ltd.,Financials,3119270000000.0
2015-01-01,BAJFINANCE.NS,348.3949890136719,346.5,323.1322021484375,75660.0,,,Bajaj Finance Ltd.,Financials,5780270000000.0
2015-01-01,BHARTIARTL.NS,325.4020080566406,322.87701416015625,320.8551330566406,2414849.0,,,Bharti Airtel Ltd.,Telecom,11992300000000.0
2015-01-01,CIPLA.NS,626.5,626.5,614.0972290039062,596787.0,,,Cipla Ltd.,Pharma,1069500000000.0
2015-01-01,COALINDIA.NS,383.0,378.5499877929688,239.1342620849609,540225.0,,,Coal India Ltd.,Metals,2716220000000.0
2015-01-01,DRREDDY.NS,3230.0,3204.0,3034.73486328125,75642.0,,,Dr. Reddy's Laboratories Ltd.,Pharma,1014150000000.0
2015-01-01,EICHERMOT.NS,1501.0999755859375,1501.0999755859375,1184.80419921875,291150.0,,,Eicher Motors Ltd.,Automobile,1953700000000.0
2015-01-01,GRASIM.NS,525.7869873046875,522.0689697265625,480.8597412109375,265542.0,,,Grasim Industries Ltd.,Cement,1912430000000.0
2015-01-01,HCLTECH.NS,399.75,396.3999938964844,334.2806091308594,1336492.0,,,HCL Technologies Ltd.,IT,4587700000000.0
2015-01-01,HDFCBANK.NS,475.5,472.5249938964844,451.5169372558594,1772470.0,,,HDFC Bank Ltd.,Financials,14299300000000.0
2015-01-01,HINDALCO.NS,157.39999389648438,155.39999389648438,151.98036193847656,2350082.0,,,Hindalco Industries Ltd.,Metals,2152250000000.0
2015-01-01,HINDUNILVR.NS,759.2999877929688,754.1500244140625,688.5256958007812,372132.0,,,Hindustan Unilever Ltd.,FMCG,5575580000000.0
2015-01-01,ICICIBANK.NS,320.635986328125,318.364013671875,296.2450256347656,2583280.0,,,ICICI Bank Ltd.,Financials,9692260000000.0
2015-01-01,INFY.NS,492.2369995117188,489.2250061035156,371.4638977050781,2002764.0,,,Infosys Ltd.,IT,6638980000000.0
